id,name,trades,win_rate,pnl_before_fees,pnl_after_fees,avg_pnl,max_drawdown,sharpe,data_source
1,Base Rate Fade - Always NO,149,0.0,0.0,0.0,0.0,0.0,0.0,resolved_markets
2,Low Volume NO Fade,48,0.0,0.0,0.0,0.0,0.0,0.0,resolved_markets
3,Mid-Volume YES Play,91,0.0,0.0,0.0,0.0,0.0,0.0,resolved_markets
4,Trump Fade - Buy NO,32,0.0,0.0,0.0,0.0,0.0,0.0,resolved_markets
5,Election Markets NO,106,0.0,0.0,0.0,0.0,0.0,0.0,resolved_markets
6,Fair Price Entry (40-60%),337,0.56973293768546,14.01443147265465,13.31370989902192,0.04158585006722448,-4.21406314743454,0.10541785070226534,backtest_csv
7,Avoid Longshots (<20%),654,0.26299694189602446,14.368718234988929,13.650282323239486,0.021970517178882154,-10.920763733930698,0.06671087489368122,backtest_csv
8,Follow Momentum (>50%),906,0.5397350993377483,16.329002092464307,15.512551987841098,0.01802318111751027,-18.521040531296595,0.04863798251748619,backtest_csv
9,Fade Favorites (>70%),598,0.4983277591973244,8.471022537317793,8.047471410451905,0.01416558952728728,-21.0384095518311,0.039499228470912695,backtest_csv
10,Combined: Low Volume + Election,25,0.0,0.0,0.0,0.0,0.0,0.0,resolved_markets
