trade_id,market_name,entry_date,exit_date,expert_consensus_pct,consensus_direction,position,entry_price,exit_price,contracts,pnl_per_contract,pnl_pct,total_pnl,outcome,resolution_date,expert_sources,notes
1,Biden Withdrawal 2024,2024-05-01,2024-07-21,90,Biden stays,Withdrawal,0.12,1.00,1,0.88,733.3,0.88,WIN,2024-07-21,"Political analysts, Democratic strategists, polling aggregators","Classic consensus failure - structural incentives prevented honest assessment"
2,Trump Popular Vote 2024,2024-10-15,2024-11-05,85,Trump loses popular vote,Trump wins popular vote,0.18,1.00,1,0.82,455.6,0.82,WIN,2024-11-05,"538 model, Economist model, academic forecasters","Third consecutive polling underestimation of Trump support"
3,GOP Senate Seats 2024,2024-10-20,2024-11-05,88,52-53 seats,Outside 52-53 range,0.15,1.00,1,0.85,566.7,0.85,WIN,2024-11-05,"Cook Political Report, Larry Sabato, cable news analysts","Correct direction but wrong magnitude - GOP won 54 seats"
4,TikTok Ban 2024,2024-04-01,2024-04-24,85,No 2024 ban,2024 ban legislation,0.22,0.75,1,0.53,240.9,0.53,WIN,2024-04-24,"Tech policy think tanks, legal scholars, industry analysts","Partial resolution - legislation passed but implementation delayed"
5,AI Safety Summit,2024-04-15,2024-05-15,90,US-China joint declaration,No joint declaration,0.25,1.00,1,0.75,300.0,0.75,WIN,2024-05-15,"Council on Foreign Relations, AI safety researchers, State Dept","Geopolitical tensions prevented cooperation despite expert optimism"
6,UK Labour Seats,2024-06-20,2024-07-04,87,400-420 seats,>420 seats,0.12,0.00,1,-0.12,-100.0,-0.12,LOSS,2024-07-04,"UK Polling Council, BBC/ITV/Sky editors, academic models","Experts approximately correct - Labour won 412 seats"
7,Fed Rate Cut Sept 2024,2024-08-01,2024-09-18,85,No cut before Nov,Cut before Nov,0.28,1.00,1,0.72,257.1,0.72,WIN,2024-09-18,"Fed officials, bank economists, WSJ/Bloomberg surveys","Fed signaling intentionally hawkish to manage inflation expectations"
8,Immigration EO Enforcement,2025-01-15,2025-03-31,90,Orders blocked immediately,Orders stand through March,0.18,1.00,1,0.82,455.6,0.82,WIN,2025-03-31,"Constitutional law professors, immigration lawyers, ACLU","Legal experts underestimated judicial deference and standing issues"
9,Ukraine Aid Package,2025-02-20,OPEN,88,No major package,Major package >$40B,0.15,0.08,1,-0.07,-46.7,-0.07,OPEN,,"Think tanks (CSIS/Brookings), Congressional analysts, European diplomats","Currently losing - package appears unlikely given political dynamics"
10,Supreme Court Expansion,2025-03-01,2026-02-01,92,No chance,Expansion proposal gains traction,0.08,0.02,1,-0.06,-75.0,-0.06,LOSS,2026-02-01,"Constitutional law scholars, political scientists, vote counters","Experts were correct - no traction for court expansion"
